bundle,family,stage,model,bin,n_bin_predictions,sample_index_min,sample_index_max,source_file,state_0_occupancy,state_1_occupancy,mean_confidence,mean_entropy_bits,switch_rate
pipeline,parity,05_dmm,dmm,4,70148,261924,373151,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,0.9982893311284712,0.0017106688715287678,0.998640100750642,0.005222647402504543,0.0023379474532054115
pipeline,parity,05_dmm,dmm,5,70148,269100,436349,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,0.9986884871984946,0.0013115128015053887,0.9988139508147736,0.004689465657924354,0.0018817625842872823
pipeline,parity,05_dmm,dmm,6,70148,276276,502319,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,0.9991304099903062,0.0008695900096937903,0.9991282474135105,0.0036317521688785962,0.0012259968352174718
pipeline,parity,05_dmm,dmm,7,70148,279864,580943,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,0.999686377373553,0.00031362262644694076,0.9996787563587476,0.001276522961045538,0.00048469642322551215
pipeline,parity,05_dmm,dmm,8,70148,517608,644695,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,1.0,0.0,0.9999999887482935,1.463614981344931e-07,0.0
pipeline,parity,05_dmm,dmm,9,70148,523126,701479,pipeline\pipeline\parity\05_dmm\20260505_040832_dmm_together_parity_family\predictions_dmm.npz,1.0,0.0,0.9999999996125375,7.723109778365094e-09,0.0
pipeline,x_loop,01_cthmm,gpu_cthmm,0,18600,0,18599,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,0.09161290322580645,0.9083870967741936,0.6568032480471878,0.8955693145844614,0.04779826872412495
pipeline,x_loop,01_cthmm,gpu_cthmm,1,18600,18600,37199,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,0.2559677419354839,0.7440322580645161,0.6059925925891887,0.9520606544245623,0.08005806763804506
pipeline,x_loop,01_cthmm,gpu_cthmm,2,18600,37200,55799,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,0.3644086021505376,0.6355913978494624,0.6010050658545186,0.9546189617053472,0.09177912791010269
pipeline,x_loop,01_cthmm,gpu_cthmm,3,18600,55800,74399,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,0.4718817204301075,0.5281182795698924,0.5973587626154705,0.9603617344495081,0.09108016560030109
pipeline,x_loop,01_cthmm,gpu_cthmm,4,18600,74400,92999,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,0.6156451612903225,0.3843548387096774,0.5943450995061987,0.9617267623810207,0.0924780902199043
pipeline,x_loop,01_cthmm,gpu_cthmm,5,18600,93000,111599,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,0.6612903225806451,0.3387096774193548,0.6033484512375247,0.9548435712029917,0.07957417065433625
pipeline,x_loop,01_cthmm,gpu_cthmm,6,18600,111600,130199,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,0.6896774193548387,0.3103225806451613,0.6011670619505708,0.9535421428451223,0.09473627614387871
pipeline,x_loop,01_cthmm,gpu_cthmm,7,18600,130200,148799,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,0.7280645161290322,0.2719354838709677,0.6124442001151782,0.9454684590295148,0.06849830636055702
pipeline,x_loop,01_cthmm,gpu_cthmm,8,18600,148800,167399,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,0.6665591397849462,0.33344086021505376,0.6009399531188832,0.9545069986914353,0.08634872842625947
pipeline,x_loop,01_cthmm,gpu_cthmm,9,18600,167400,185999,pipeline\pipeline\x_loop\01_cthmm\20260505_091222_cthmm_together_x_loop_family\teacher_predictions.npz,0.5433333333333333,0.45666666666666667,0.5951933564678316,0.9608836266359027,0.0951664067960643
pipeline,x_loop,02_cnn_gru_independent,cnn_gru,0,18600,0,133799,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,0.9991935483870967,0.0008064516129032258,0.504314417441686,0.9999387865350357,0.0010753266304640034
pipeline,x_loop,02_cnn_gru_independent,cnn_gru,1,18600,14400,151199,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,0.9999462365591398,5.3763440860215054e-05,0.5048031366127793,0.999925667661075,0.00010753266304640035
pipeline,x_loop,02_cnn_gru_independent,cnn_gru,2,18600,15600,167999,pipeline\pipeline\x_loop\02_cnn_gru_independent\20260505_092006_cnn_gru_together_x_loop_family\predictions_cnn_independent.npz,0.9999462365591398,5.3763440860215054e-05,0.5048420278487668,0.9999242290089911,0.00010753266304640035
