bundle,family,stage,model,source_file,resample_unit,n_predictions,state,metric,n_blocks,bootstrap_replicates,ci_low_2p5,bootstrap_median,ci_high_97p5,bootstrap_mean,bootstrap_std,block_min,block_max
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,contiguous_blocks,186000,0,mean_dwell_windows,91,200,12.290758605399809,13.22126038381851,14.101467317722882,13.176426235944808,0.5043680114119816,1.3636363636363635,27.952380952380953
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,contiguous_blocks,186000,0,median_dwell_windows,91,200,2.4835164835164836,2.6675824175824174,2.8957417582417584,2.677554945054945,0.10481050444195426,1.0,9.0
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,contiguous_blocks,186000,0,p90_dwell_windows,91,200,47.92225274725274,51.95879120879121,57.24837912087912,52.30321428571429,2.437788659363833,2.0,90.0
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,contiguous_blocks,186000,1,mean_dwell_windows,91,200,16.86711327139023,20.22831933751734,23.812278075689843,20.218627129097154,1.864379777742832,4.364406779661017,126.625
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,contiguous_blocks,186000,1,median_dwell_windows,91,200,3.1701923076923078,3.4285714285714284,3.692582417582418,3.426510989010989,0.14049435426791723,2.0,10.5
pipeline,x_loop,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\x_loop\03_cnn_gru_teacher_assisted\20260505_092550_cnn_gru_together_x_loop_family\predictions_cnn_teacher_assisted.npz,contiguous_blocks,186000,1,p90_dwell_windows,91,200,55.09162087912088,64.75879120879122,76.75590659340662,65.26886813186815,6.071801859607436,10.600000000000009,343.5
pipeline,x_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,sequence_id,18600,1,mean_dwell_windows,557,200,17.04930975891254,18.058972386081898,19.197703470975462,18.060746794049756,0.5479759028582998,1.0,30.0
pipeline,x_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,sequence_id,18600,1,median_dwell_windows,557,200,16.920960502693,17.810143626570916,18.813981149012566,17.833859964093357,0.5005614386290286,1.0,30.0
pipeline,x_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,sequence_id,18600,1,p90_dwell_windows,557,200,18.801157989228006,19.712836624775584,20.460323159784558,19.640189407540397,0.4467630555946531,1.0,30.0
pipeline,x_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\x_loop\04_hsmm_using_cnn_embeddings\20260505_093246_hsmm_together_x_loop_family\hsmm_predictions.npz,sequence_id,18600,0,mean_dwell_windows,352,200,8.646375473484849,9.714299242424243,10.637747395833335,9.715355350378788,0.5805334187298119,1.0,30.0
