bundle,family,stage,model,source_file,metric,n_bins,mean_across_bins,min_bin_value,max_bin_value,range_max_minus_min,std_across_bins,relative_range_over_mean_abs
pipeline,z_loop,01_cthmm,gpu_cthmm,pipeline\pipeline\z_loop\01_cthmm\20260505_102554_cthmm_together_z_loop_family\teacher_predictions.npz,switch_rate,20,0.36539287939474857,0.288,0.4045393858477971,0.1165393858477971,0.02906815758096862,0.3189426844902879
pipeline,z_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\z_loop\02_cnn_gru_independent\20260505_102929_cnn_gru_together_z_loop_family\predictions_cnn_independent.npz,state_0_occupancy,20,0.9798217487794053,0.952063914780293,1.0,0.04793608521970705,0.014153521315446036,0.048923271278089646
pipeline,z_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\z_loop\02_cnn_gru_independent\20260505_102929_cnn_gru_together_z_loop_family\predictions_cnn_independent.npz,state_1_occupancy,20,0.020178251220594762,0.0,0.047936085219707054,0.047936085219707054,0.014153521315446034,2.375631302021926
pipeline,z_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\z_loop\02_cnn_gru_independent\20260505_102929_cnn_gru_together_z_loop_family\predictions_cnn_independent.npz,mean_confidence,20,0.5072397688917621,0.5057788117430341,0.5085784670674849,0.0027996553244508116,0.0007101807757629786,0.005519392398130792
pipeline,z_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\z_loop\02_cnn_gru_independent\20260505_102929_cnn_gru_together_z_loop_family\predictions_cnn_independent.npz,mean_entropy_bits,20,0.9998367117903946,0.9997849802669678,0.9998902349755137,0.00010525470854583219,2.7369940395380854e-05,0.00010527189820561194
pipeline,z_loop,02_cnn_gru_independent,cnn_gru,pipeline\pipeline\z_loop\02_cnn_gru_independent\20260505_102929_cnn_gru_together_z_loop_family\predictions_cnn_independent.npz,switch_rate,20,0.023872185135736537,0.0,0.050666666666666665,0.050666666666666665,0.016402816933847836,2.1224142816661944
pipeline,z_loop,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\z_loop\03_cnn_gru_teacher_assisted\20260505_103215_cnn_gru_together_z_loop_family\predictions_cnn_teacher_assisted.npz,state_0_occupancy,20,0.48232321349312024,0.41278295605858856,0.6191744340878829,0.2063914780292943,0.05714137992257336,0.42791114392887963
pipeline,z_loop,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\z_loop\03_cnn_gru_teacher_assisted\20260505_103215_cnn_gru_together_z_loop_family\predictions_cnn_teacher_assisted.npz,state_1_occupancy,20,0.5176767865068796,0.3808255659121172,0.5872170439414115,0.2063914780292943,0.05714137992257336,0.3986879137887545
pipeline,z_loop,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\z_loop\03_cnn_gru_teacher_assisted\20260505_103215_cnn_gru_together_z_loop_family\predictions_cnn_teacher_assisted.npz,mean_confidence,20,0.7254348179338721,0.6870901975111066,0.7494867781348298,0.06239658062372322,0.019330555760992775,0.08601266313827668
pipeline,z_loop,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\z_loop\03_cnn_gru_teacher_assisted\20260505_103215_cnn_gru_together_z_loop_family\predictions_cnn_teacher_assisted.npz,mean_entropy_bits,20,0.8047696131380118,0.7658576079927265,0.8557233688105238,0.08986576081779729,0.027475263175154713,0.11166644385016809
pipeline,z_loop,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\z_loop\03_cnn_gru_teacher_assisted\20260505_103215_cnn_gru_together_z_loop_family\predictions_cnn_teacher_assisted.npz,switch_rate,20,0.0902278593680463,0.058666666666666666,0.12,0.06133333333333333,0.018979010854694493,0.6797604837675468
pipeline,z_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\z_loop\04_hsmm_using_cnn_embeddings\20260505_103411_hsmm_together_z_loop_family\hsmm_predictions.npz,state_0_occupancy,20,0.6491186250480966,0.3246753246753247,0.948051948051948,0.6233766233766234,0.17679686560411104,0.9603431473414187
pipeline,z_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\z_loop\04_hsmm_using_cnn_embeddings\20260505_103411_hsmm_together_z_loop_family\hsmm_predictions.npz,state_1_occupancy,20,0.35088137495190336,0.05194805194805195,0.6753246753246753,0.6233766233766234,0.17679686560411104,1.77660220198941
pipeline,z_loop,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\z_loop\04_hsmm_using_cnn_embeddings\20260505_103411_hsmm_together_z_loop_family\hsmm_predictions.npz,switch_rate,20,0.11260760353709805,0.04316546762589928,0.20481927710843373,0.16165380948253444,0.05108739713879642,1.4355496823025662
pipeline,z_loop,05_dmm,dmm,pipeline\pipeline\z_loop\05_dmm\20260505_103853_dmm_together_z_loop_family\predictions_dmm.npz,state_0_occupancy,20,0.5396621393697292,0.44607190412782954,0.7083888149134487,0.2623169107856192,0.0644821439727161,0.4860761792405501
pipeline,z_loop,05_dmm,dmm,pipeline\pipeline\z_loop\05_dmm\20260505_103853_dmm_together_z_loop_family\predictions_dmm.npz,state_1_occupancy,20,0.46033786063027077,0.29161118508655126,0.5539280958721704,0.26231691078561914,0.0644821439727161,0.5698356212249595
pipeline,z_loop,05_dmm,dmm,pipeline\pipeline\z_loop\05_dmm\20260505_103853_dmm_together_z_loop_family\predictions_dmm.npz,mean_confidence,20,0.6789471352667318,0.6606690145333608,0.6982243986485325,0.037555384115171675,0.010131444494190537,0.05531415063768939
pipeline,z_loop,05_dmm,dmm,pipeline\pipeline\z_loop\05_dmm\20260505_103853_dmm_together_z_loop_family\predictions_dmm.npz,mean_entropy_bits,20,0.8588102220803604,0.8395510101576223,0.8757672521708846,0.036216242013262234,0.009139730928636418,0.04217025028595132
pipeline,z_loop,05_dmm,dmm,pipeline\pipeline\z_loop\05_dmm\20260505_103853_dmm_together_z_loop_family\predictions_dmm.npz,switch_rate,20,0.08416039163328884,0.048,0.15066666666666667,0.10266666666666667,0.022927833763491303,1.2198929291348242
