bundle,family,stage,model,source_file,bin_index,bin_axis,bin_start,bin_end,n_predictions,state_0_occupancy,state_1_occupancy,switch_count,switch_rate,mean_confidence,median_confidence,mean_entropy_bits,n_sequences
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,9,sample_index,315665.55,350739.5,35074,0.8736956149854593,0.1263043850145407,4718,0.1345194309012631,0.8721498203684084,0.9321970641613007,0.43182982456300084,17537.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,10,sample_index,350739.5,385813.44999999995,35074,0.8837885613274791,0.11621143867252096,4404,0.1255666752202549,0.8790338508414728,0.9404833912849426,0.4117917651574363,17537.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,11,sample_index,385813.44999999995,420887.39999999997,35074,0.8975309345954268,0.10246906540457319,4006,0.11421891483477319,0.8830939961239707,0.9448605179786682,0.4009827482249846,17537.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,12,sample_index,420887.39999999997,455961.35,35074,0.9024063408792838,0.0975936591207162,3826,0.10908676189661563,0.8890677330658701,0.9520195126533508,0.38279710409330536,17537.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,13,sample_index,455961.35,491035.29999999993,35074,0.9154929577464789,0.08450704225352113,3460,0.09865138425569527,0.8976349964386967,0.9595972299575806,0.35867470033847976,17537.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,14,sample_index,491035.29999999993,526109.25,35074,0.9552660090095227,0.04473399099047728,1880,0.053602486242978926,0.94172709195822,0.9956517815589905,0.20649343107114881,25844.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,15,sample_index,526109.25,561183.2,35074,0.9988025317899298,0.0011974682100701374,82,0.0023379807829384427,0.9960439616610647,0.9999959468841553,0.017971121405250427,35074.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,16,sample_index,561183.2,596257.1499999999,35074,0.9995153104864002,0.0004846895135998175,34,0.0009694066660964275,0.9978317621564923,0.9999982118606567,0.010908149869512775,35074.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,17,sample_index,596257.1499999999,631331.1,35074,0.9994867993385413,0.0005132006614586303,36,0.0010264305876315114,0.9980494603162047,0.9999988079071045,0.009930178402245042,35074.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,18,sample_index,631331.1,666405.0499999999,35074,0.9996578662256942,0.0003421337743057536,20,0.0005702392153508396,0.9981958319525385,0.9999986886978149,0.009435876872478125,35074.0
pipeline,parity,03_cnn_gru_teacher_assisted,cnn_gru,pipeline\pipeline\parity\03_cnn_gru_teacher_assisted\20260505_032709_cnn_gru_together_parity_family\predictions_cnn_teacher_assisted.npz,19,sample_index,666405.0499999999,701479.0,35074,0.9994297770428238,0.0005702229571762559,40,0.0011404784307016793,0.9977969516946223,0.9999961853027344,0.011824824052902928,35074.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,0,sample_index,72.0,35142.1,3494,0.0,1.0,0,0.0,,,,1747.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,1,sample_index,35142.1,70212.2,3369,0.0,1.0,0,0.0,,,,1685.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,2,sample_index,70212.2,105282.29999999999,3419,0.0,1.0,0,0.0,,,,1710.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,3,sample_index,105282.29999999999,140352.4,3626,0.0,1.0,0,0.0,,,,1813.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,4,sample_index,140352.4,175422.5,3474,0.0,1.0,0,0.0,,,,1737.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,5,sample_index,175422.5,210492.59999999998,3510,0.0,1.0,0,0.0,,,,1755.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,6,sample_index,210492.59999999998,245562.69999999998,3414,0.0,1.0,0,0.0,,,,1707.0
pipeline,parity,04_hsmm_using_cnn_embeddings,gpu_hsmm_duration,pipeline\pipeline\parity\04_hsmm_using_cnn_embeddings\20260505_034648_hsmm_together_parity_family\hsmm_predictions.npz,7,sample_index,245562.69999999998,280632.8,3418,0.7489760093622001,0.2510239906377999,1,0.000292654375182909,,,,1709.0
